"Variable","Mean","result_grid09[, 2]","result_grid10[, 2]","result_grid11[, 2]","result_grid19[, 2]","result_grid20[, 2]","result_grid21[, 2]","result_grid22[, 2]","result_grid30[, 2]","result_grid31[, 2]","result_grid32[, 2]","result_grid33[, 2]","result_grid41[, 2]","result_grid42[, 2]","result_grid43[, 2]","result_grid44[, 2]","result_grid52[, 2]","result_grid53[, 2]","result_grid54[, 2]","result_grid55[, 2]"
"VRYieldVOl",89.2278711594203,93.8440581588785,84.6109031428571,80.1332806355932,99.0002333,100.330982738889,98.5236936591928,90.5169755733333,86.6862016028369,77.7042697065217,70.1846384392523,66.5318360486111,81.5513311736111,75.1771298489583,73.7414025,81.1247879027778,73.2641632601626,77.0478541075949,85.1236611071429,87.0031392601626
"GridId*",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"row",60.536231884058,67.5700934579439,76.1242236024845,83.5169491525424,60.4357142857143,67.4333333333333,76.0313901345291,83.5,60.5106382978723,67.5217391304348,76.0327102803738,83.5,60.5,67.5,76,83.5,60.4390243902439,67.4746835443038,76.0510204081633,83.4308943089431
"col",17.4782608695652,16.4859813084112,14.2795031055901,13.6271186440678,35.3071428571429,35.0666666666667,35.9506726457399,36,60.6666666666667,60.9673913043478,60.4672897196262,60.5,84.5,84.5,84.5,84.5,106.853658536585,106.417721518987,107.459183673469,106.788617886179
"Relative_Elevation1",-1.95324378865217,-1.85874986590654,-1.4500165559441,-1.03523307579661,-1.11438032942143,-0.622685575422222,-0.448327361318386,-0.476346352713333,0.167353182312057,0.487540938630435,0.660999178448598,0.717698727305556,0.684035268090278,0.833426988208333,0.750067455194444,0.687985107951389,0.977397077943089,0.812050647772152,0.544189818030612,0.562921574463415
"Slope1",0.0193878838405797,0.0189130232149533,0.0131984546521739,0.00743246238983051,0.00701991634285714,0.00585383068888889,0.00402604683408072,0.00428873028666667,0.0102997726382979,0.00705220361956522,0.00546356672897196,0.00438573703472222,0.00772515043055556,0.00611611644270833,0.00522904244907407,0.00353403674305556,0.00921355159349594,0.00545656217721519,0.00519396554081633,0.00353849509756098
"TRI1",0.984019218188406,0.988364163934579,0.680446924236025,0.426944012923729,0.37538475405,0.283131406233333,0.189919881269058,0.207990498393333,0.49006117151773,0.32107452748913,0.250177259995327,0.221219324340278,0.36906782675,0.272457505963542,0.22971682662963,0.154652289152778,0.387698134853659,0.265178304132911,0.22372397022449,0.163749805853659
"TPI1",-0.259867674666667,-0.363033400981308,-0.0685164250496894,0.448509356067797,-0.468542984871429,0.231823478155556,0.03581298532287,-0.430688354226667,-0.358796281276596,0.288216413331522,0.36803617614486,0.377883138631944,-0.344809314138889,0.416181929447917,-0.102468248509259,-0.228531354583333,0.625645931585366,0.21799417214557,-0.557140738331633,0.00839173051219512
"Elevation1",52.1704401757971,52.3018018417757,52.8700064668323,53.4466218139831,53.3365944724286,54.0201287802222,54.2625145678475,54.2235636898,55.1184089334752,55.5635210946196,55.8046557701869,55.8834772111111,55.8366796173611,56.0443579952604,55.9284749206944,55.8421705295139,56.2444994235772,56.0146414602532,55.642272092551,55.6683122278862
"Application_7_N_rate",0.237997041811594,0.259320569626168,0.251001883409938,0.255535818355932,0.242017016221429,0.237209981333333,0.237527620838565,0.238705328726667,0.24092143029078,0.23754371088587,0.238023969224299,0.237802053916667,0.2397969620625,0.238013617036458,0.23675823037037,0.238486077798611,0.242379249300813,0.234153681208861,0.238821463469388,0.237932035821138
"Application_10_N_rate",83.4656832655073,82.5775834227103,83.4341288229192,77.3889533140678,80.2684504387857,79.8276665497222,80.1788844072197,80.0157047199333,80.4670559614894,79.5028922359783,80.1530761335514,79.5279138928472,80.5584269999306,79.4623666581771,80.1974833246759,79.0255863908333,80.558818161626,78.6532693360127,81.0374613911735,79.9953678260976
"ph_mean_30_60",7.51298574782609,7.53295029442991,7.54054053539752,7.52981503552542,7.56917026384286,7.59230334243889,7.62401617363677,7.62975736604,7.63317836953192,7.63989173847826,7.63058523804206,7.64182285504167,7.591408193125,7.593863825125,7.61152238289815,7.62398235008333,7.6344470900813,7.62616452086076,7.61161687889796,7.59158642686179
