fid,field_1,GridId,,x,y,VRYieldVOl,row,col,Relative_Elevation1,Slope1,TRI1,TPI1,Elevation1,Application_4_N_rate,Application_5_N_rate,Application_7_N_rate,Application_10_N_rate,ph_mean_30_60,clay_mean_30_60,silt_mean_30_60,sand_mean_30_60,ksat_mean_30_60,om_mean_30_60
3516,3515,11,3515,-97.69664697,27.66499297,9.075207,86,2,-2.25487709,0.03039499,0.70404762,-0.288231581,51.75112152,0,0,0.298107014,81.22552185,7.386514664,37.44701767,21.3383522,36.51985931,2.67790246,1.127670765
3517,3516,11,3516,-97.69654697,27.66499297,0,86,3,-2.243074894,0.010915159,0.803545058,-0.298830569,51.76752853,0,0,0.289858093,84.74702969,7.386514664,37.44701767,21.3383522,36.51985931,2.67790246,1.127670765
3518,3517,11,3517,-97.69644697,27.66499297,0,86,4,-1.990551829,0.01227931,0.727933407,-0.040507607,52.11857605,0,0,0.327553368,87.43145142,7.386514664,37.44701767,21.3383522,36.51985931,2.67790246,1.127670765
3519,3518,11,3518,-97.69634697,27.66499297,41.72499,86,5,-1.79466629,0.012639545,0.686180651,0.11833743,52.39088821,0,0,0.317380142,38.9097393,7.386514664,37.44701767,21.3383522,36.51985931,2.67790246,1.127670765
3520,3519,11,3519,-97.69624697,27.66499297,51.649075,86,6,-1.549222946,0.011922887,0.553490102,0.359607041,52.73209381,0,0,0.287916679,71.98879223,7.386514664,37.44701767,21.3383522,36.51985931,2.67790246,1.127670765
3521,3520,11,3520,-97.69614697,27.66499297,52.491753,86,7,-1.402900815,0.005217912,0.471254975,0.488674939,52.93550491,0,0,0.262036724,85.15113773,7.386514664,37.44701767,21.3383522,36.51985931,2.67790246,1.127670765
3522,3521,11,3521,-97.69604697,27.66499297,53.84967,86,8,-1.43830204,0.009919454,0.470420212,0.424989939,52.8862915,0,0,0.244867516,70.17031116,7.558682442,41.787117,24.22078514,30.54197884,0.784941852,1.204142332
3523,3522,11,3522,-97.69594697,27.66499297,65.853584,86,9,-1.43830204,0.010201341,0.488453388,0.396932751,52.8862915,0,0,0.253351631,75.04845715,7.558682442,41.787117,24.22078514,30.54197884,0.784941852,1.204142332
3524,3523,11,3523,-97.69584697,27.66499297,80.96169,86,10,-1.202295542,0.012523152,0.39083606,0.593219042,53.21437836,0,0,0.261925545,75.7412138,7.558682442,41.787117,24.22078514,30.54197884,0.784941852,1.204142332
3525,3524,11,3524,-97.69574697,27.66499297,83.20424,86,11,-1.018212199,0.00772675,0.400648445,0.702662945,53.47028351,0,0,0.246124744,77.18445168,7.558682442,41.787117,24.22078514,30.54197884,0.784941852,1.204142332
3526,3525,11,3525,-97.69564697,27.66499297,71.64208,86,12,-0.914371073,0.005376424,0.404949158,0.719569862,53.61463928,0,0,0.241993866,78.07926235,7.558682442,41.787117,24.22078514,30.54197884,0.784941852,1.204142332
3527,3526,11,3526,-97.69554697,27.66499297,70.45185,86,13,-0.824689388,0.003616916,0.354930282,0.722364843,53.73931122,0,0,0.261271267,78.4833704,7.558682442,41.787117,24.22078514,30.54197884,0.784941852,1.204142332
3528,3527,11,3527,-97.69544697,27.66499297,63.298897,86,14,-0.779848516,0.000822081,0.299799532,0.693171561,53.80164719,0,0,0.257910118,78.4833704,7.558682442,41.787117,24.22078514,30.54197884,0.784941852,1.204142332
3529,3528,11,3528,-97.69534697,27.66499297,77.04196,86,15,-0.819969594,0.003586552,0.229534447,0.561035216,53.7458725,0,0,0.259141693,77.99266777,7.558682442,41.787117,24.22078514,30.54197884,0.784941852,1.204142332
3530,3529,11,3529,-97.69524697,27.66499297,76.604645,86,16,-0.904931486,0.003377312,0.275160432,0.373131454,53.62776184,0,0,0.262806454,76.6937542,7.558682442,41.787117,24.22078514,30.54197884,0.784941852,1.204142332
3531,3530,11,3530,-97.69514697,27.66499297,75.72666,86,17,-0.720848262,0.003752052,0.204895377,0.584792376,53.88366699,0,0,0.260433121,78.39677582,7.567761898,41.71894836,24.2837162,30.69168854,0.717852056,1.195673585
3532,3531,11,3531,-97.69504697,27.66499297,86.241844,86,18,-0.834128976,0.003049685,0.254909784,0.345953137,53.72618866,0,0,0.264713669,79.95547314,7.567761898,41.71894836,24.2837162,30.69168854,0.717852056,1.195673585
3533,3532,11,3532,-97.69494697,27.66499297,83.852165,86,19,-0.803447485,0.003721179,0.245521903,0.297730803,53.76884079,0,0,0.25742691,81.16779728,7.567761898,41.71894836,24.2837162,30.69168854,0.717852056,1.195673585
3534,3533,11,3533,-97.69484697,27.66499297,80.65094,86,20,-0.765689075,0.002165988,0.232958183,0.265098333,53.82133102,0,0,0.263144264,81.54303532,7.567761898,41.71894836,24.2837162,30.69168854,0.717852056,1.195673585
3535,3534,11,3534,-97.69474697,27.66499297,82.98185,86,21,-0.746807158,0.005450088,0.239579126,0.180014551,53.84757996,0,0,0.263482094,81.28325157,7.567761898,41.71894836,24.2837162,30.69168854,0.717852056,1.195673585
3536,3535,11,3535,-97.69464697,27.66499297,86.82168,86,22,-0.642966032,0.003005181,0.173075065,0.373217553,53.99193573,0,0,0.261074562,79.1761219,7.567761898,41.71894836,24.2837162,30.69168854,0.717852056,1.195673585
3537,3536,11,3536,-97.69454697,27.66499297,85.272736,86,23,-0.638246238,0.003973041,0.170286164,0.332842499,53.99849701,0,0,0.240454407,79.63795967,7.567761898,41.71894836,24.2837162,30.69168854,0.717852056,1.195673585
3538,3537,22,3537,-97.69444697,27.66499297,82.17034,86,24,-0.501363695,0.002752876,0.195446789,0.953896701,54.18878555,0,0,0.242040901,78.6276947,7.567761898,41.71894836,24.2837162,30.69168854,0.717852056,1.195673585
3539,3538,22,3538,-97.69434697,27.66499297,90.566765,86,25,-0.572163463,0.00081245,0.162677243,0.552143514,54.09036255,0,0,0.243345165,77.2421814,7.567761898,41.71894836,24.2837162,30.69168854,0.717852056,1.195673585
